endTime,artistName,trackName,msPlayed
2022-02-11 21:04,IDK,Cereal (feat. Kenny Mason),198862
2022-02-11 21:07,VIC MENSA,VICTORY,212386
2022-02-11 21:11,BROCKHAMPTON,BUZZCUT (feat. Danny Brown),201160
2022-02-11 21:14,Meek Mill,"That's My N**** (with Meek Mill, YG & Snoop Dogg)",199746
2022-02-11 21:17,AG Club,NOHO (feat. ICECOLDBISHOP),182512
2022-02-11 21:20,Terror Reid,Uppercuts,180000
2022-02-11 21:23,2 Chainz,Grey Area,171837
2022-02-11 21:26,Drake,Wants and Needs (feat. Lil Baby),192956
2022-02-11 21:30,Benny The Butcher,Plug Talk (feat. 2 Chainz),195988
2022-02-11 21:32,Jayy Grams,Smok'n Grams,156585
2022-02-11 21:35,chillpill,"Moonwalk (feat. YBN Nahmir, Teejayx6 & Cousin Stizz)",175172
2022-02-11 21:38,IDK,Shoot My Shot,172105
2022-02-11 21:42,A$AP Mob,"Telephone Calls (feat. A$AP Rocky, Tyler, The Creator, Playboi Carti & Yung Gleesh)",230920
2022-02-11 21:45,Diablo,Killing (feat. Terror Reid),180923
2022-02-11 21:48,Benny The Butcher,Talkin' Back (feat. Fat Joe),162528
2022-02-11 21:51,Lil Wayne,Mama Mia,225440
2022-02-11 21:54,YG,Bompton to Oak Park,164494
2022-02-11 21:58,Channel Tres,Black Moses (feat. JPEGMAFIA),260224
2022-02-11 22:01,Spinabenz,Who I Smoke,134186
2022-02-12 01:10,Isaiah Rashad,Smile,174060
2022-02-12 01:11,Urban Cone,Old School,183987
2022-02-12 01:12,John Legend,All of Me,58563
2022-02-12 01:16,James TW,Incredible,2484
2022-02-12 01:16,Billie Eilish,when the party's over,9589
2022-02-12 01:16,Caamp,By and By,203871
2022-02-12 01:19,The Beatles,Ticket To Ride - Remastered 2015,190120
2022-02-12 01:22,The Beatles,Only A Northern Song - Anthology 2 Version,104883
2022-02-12 01:32,The Beatles,What You're Doing - Remastered 2009,149163
2022-02-12 01:32,Drake,Wants and Needs (feat. Lil Baby),5418
2022-02-12 01:32,The Beatles,We Can Work It Out - Remastered 2015,3641
2022-02-12 01:35,"Tyler, The Creator",RISE! (feat. DAISY WORLD),203588
2022-02-12 01:38,Tom The Mail Man,Forever,187750
2022-02-12 01:41,Asoh Black!,Foolie,166383
2022-02-12 01:44,Isaiah Rashad,Headshots (4r Da Locals),193208
2022-02-12 01:48,Mosie,Oh! Frenchy,236153
2022-02-12 01:52,D Smoke,Clockwork,217013
2022-02-12 01:54,D Smoke,Gaspar Yanga,135862
2022-02-12 01:56,Mosez Jones,Paperview,152967
2022-02-12 01:58,Topaz Jones,Tropicana (Bonus Track),145031
2022-02-12 02:02,FRITOGANG,Best Friend,229714
2022-02-12 02:08,The Dynamics,Move on Up,292571
2022-02-12 02:10,Vince Staples,TAKE ME HOME,166829
2022-02-12 02:13,Baby Keem,16,156040
2022-02-12 02:15,Common,Invocation,133839
2022-02-12 02:19,Kevin Abstract,SLUGGER (feat. $NOT & slowthai),256346
2022-02-12 02:23,Nill,Control,208109
2022-02-12 02:28,Sy Ari Da Kid,New Malcolm X,361410
2022-02-12 02:32,MED,The Strip,231413
2022-02-12 02:35,Jitwam,Opendoors,162102
2022-02-12 02:39,Little Brother,Lovin' It (feat. Joe Scudda),231720
2022-02-12 02:42,NugLife,The Love Dispensary,203555
2022-02-12 02:46,Cam O'bi,TenderHeaded,245985
2022-02-12 02:50,D Smoke,Top of the Morning,214137
2022-02-12 02:53,Swedish House Mafia,Lifetime (with Ty Dolla $ign & 070 Shake),186805
2022-02-12 02:57,PJ Lucid,Luminary,259726
2022-02-12 03:00,Mereba,Rider,165186
2022-02-12 03:04,Jet Age of Tomorrow,Ain't a Party,269035
2022-02-12 03:06,SoGone SoFlexy,Nueces County,121500
2022-02-12 03:08,Prison Mike,4loko,134074
2022-02-12 03:11,Baby Keem,pink panties,163508
2022-02-12 03:14,"Royce Da 5'9""",Dumb (feat. Boogie),186978
2022-02-12 03:17,Darion Harris,Asthma,180000
2022-02-12 03:19,Dom Vallie,Vallie Mode,148349
2022-02-12 03:22,Wynne,OLÉ OLÉ,145488
2022-02-12 03:24,Kamaiyah,Fuck It Up (feat. YG),141844
2022-02-12 03:27,Hotel Ugly,Shut up My Moms Calling,164570
2022-02-12 03:28,Ski Mask The Slump God,Lost In Time,121666
2022-02-12 03:32,Don Toliver,Drugs N Hella Melodies (feat. Kali Uchis),198775
2022-02-12 03:39,YGTUT,G35,264000
2022-02-12 03:42,PJ Lucid,Martyr Luther King,184562
2022-02-12 03:47,Isaiah Rashad,Claymore (feat. Smino),186151
2022-02-12 04:05,070 Shake,Guilty Conscience,15583
2022-02-12 04:08,Remi Wolf,Disco Man - Little Dragon Remix,186315
2022-02-12 04:12,Kevin Abstract,SLUGGER (feat. $NOT & slowthai),256346
2022-02-12 04:15,Asoh Black!,Foolie,166383
2022-02-12 04:17,Common,Invocation,133839
2022-02-12 04:20,Don Toliver,Drugs N Hella Melodies (feat. Kali Uchis),198775
2022-02-12 04:24,NugLife,The Love Dispensary,203555
2022-02-12 04:26,Baby Keem,16,156040
2022-02-12 04:27,D Smoke,Clockwork,37879
2022-02-12 04:29,Topaz Jones,Tropicana (Bonus Track),116680
2022-02-12 04:32,D Smoke,Gaspar Yanga,4990
2022-02-12 04:32,"Tyler, The Creator",RISE! (feat. DAISY WORLD),203588
2022-02-12 06:23,Joey Purp,Morning Sex,211128
2022-02-12 06:25,PJ Lucid,Martyr Luther King,3297
2022-02-12 06:25,Baby Keem,pink panties,163508
2022-02-12 06:25,Kamaiyah,Fuck It Up (feat. YG),12500
2022-02-12 06:26,Wynne,OLÉ OLÉ,18622
2022-02-12 06:27,Isaiah Rashad,Claymore (feat. Smino),84543
2022-02-12 16:30,Bonobo,Black Sands,24563
2022-02-12 20:38,The Dynamics,Move on Up,7740
2022-02-12 20:57,Nicki Minaj,Bussin,39080
2022-02-12 20:59,The Dynamics,Move on Up,292571
2022-02-12 21:02,Darion Harris,Asthma,180000
2022-02-12 21:07,Dom Vallie,Vallie Mode,148349
2022-02-12 21:11,MED,The Strip,231413
2022-02-12 21:13,Mosez Jones,Paperview,152967
2022-02-12 21:26,Isaiah Rashad,Headshots (4r Da Locals),193208
2022-02-12 21:28,Prison Mike,4loko,134074
2022-02-12 22:11,Mereba,Rider,165186
2022-02-12 22:14,Macklemore & Ryan Lewis,Same Love (feat. Mary Lambert),2182
2022-02-12 22:14,Train,"Hey, Soul Sister",1996
2022-02-12 22:14,Shontelle,Impossible,2020
2022-02-12 22:14,Mario,Let Me Love You,905
2022-02-12 22:14,Outkast,Hey Ya!,1509
2022-02-12 22:14,Vince Staples,TAKE ME HOME,166829
2022-02-12 22:14,One Direction,History,2647
2022-02-12 22:14,Sam Smith,Stay With Me,1857
2022-02-12 22:14,Taylor Swift,Blank Space,835
2022-02-12 22:14,Britney Spears,Toxic,1253
2022-02-12 22:14,SoGone SoFlexy,Nueces County,22838
2022-02-12 22:14,Arctic Monkeys,Why'd You Only Call Me When You're High?,1253
2022-02-12 22:14,Taylor Swift,You Belong With Me,1160
2022-02-12 22:14,Neil Diamond,Sweet Caroline,1857
2022-02-12 22:14,Bruno Mars,Versace on the Floor,1044
2022-02-12 22:15,Ariana Grande,Almost Is Never Enough,208
2022-02-12 22:15,Olivia Rodrigo,favorite crime,2159
2022-02-12 22:15,Flo Rida,Low (feat. T-Pain),2391
2022-02-12 22:15,The Temptations,My Girl,2577
2022-02-12 22:16,CeeLo Green,Forget You,76115
2022-02-12 22:16,Dylan Reed,Quiet,789
2022-02-12 22:16,Labrinth,Beneath Your Beautiful (feat. Emeli Sandé),2995
2022-02-12 22:16,Natasha Bedingfield,Pocketful of Sunshine,8150
2022-02-12 22:16,Little Mix,"Secret Love Song, Pt. II",3529
2022-02-12 22:16,Julia Michaels,Issues,1671
2022-02-12 22:16,Miley Cyrus,The Climb,7267
2022-02-12 22:16,One Direction,Night Changes,2530
2022-02-12 22:16,Blu DeTiger,Figure It Out,8150
2022-02-12 22:17,Alanis Morissette,You Oughta Know - 2015 Remaster,2600
2022-02-12 22:20,Maroon 5,Payphone,231386
2022-02-12 22:23,Plain White T's,Rhythm Of Love,156033
2022-02-12 22:29,Daniel Caesar,TOO DEEP TO TURN BACK,318533
2022-02-12 22:30,ODIE,North Face,74675
2022-02-12 23:08,ODIE,North Face,122026
2022-02-12 23:12,Daniel Caesar,Japanese Denim,270846
2022-02-12 23:16,BROCKHAMPTON,SUGAR,204533
2022-02-12 23:23,Jaden,Ninety,468168
2022-02-12 23:27,Choker,Juno,231680
2022-02-12 23:30,Ryan Beatty,Cupid,175324
2022-02-12 23:33,Daniel Caesar,CYANIDE,194959
2022-02-12 23:37,Bruno Major,Easily,210240
2022-02-12 23:40,Rex Orange County,KEEP IT UP,183000
2022-02-12 23:42,Jakob,Velvet Light,141587
2022-02-12 23:46,Eloise,"You, Dear",187124
2022-02-12 23:48,Kevin Abstract,Peach,176732
2022-02-12 23:51,Dominic Fike,Açaí Bowl,177400
2022-02-12 23:56,Daniel Caesar,SUPERPOSITION,263794
2022-02-12 23:59,Bruno Major,Fair-Weather Friend,186712
2022-02-13 00:02,Frank Ocean,Moon River,188323
2022-02-13 00:05,"Tyler, The Creator",See You Again (feat. Kali Uchis),180386
2022-02-13 01:19,BROCKHAMPTON,FACE,259000
2022-02-13 01:22,Kevin Abstract,Empty,194336
2022-02-13 01:26,Ryan Trey,Mutual Butterflies,183875
2022-02-13 01:30,Daniel Caesar,OPEN UP,266226
2022-02-13 01:32,Frank Ocean,In My Room,133680
2022-02-13 02:28,Rich Brian,Drive Safe,240118
2022-02-13 02:31,Verzache,January,196363
2022-02-13 02:34,Kevin Abstract,Baby Boy,211668
2022-02-13 02:38,Sonder,Nobody But You,213214
2022-02-13 02:41,Joey Bada$$,Love Is Only a Feeling,152041
2022-02-13 02:45,Daniel Caesar,We Find Love,254919
2022-02-13 02:48,Frank Ocean,Chanel,210285
2022-02-13 02:51,UMI,Midnight Blues,147304
2022-02-13 02:53,Eloise,Left Side,144962
2022-02-13 02:57,Snoh Aalegra,Find Someone Like You,206465
2022-02-13 03:01,Free Nationals,Beauty & Essex,277046
2022-02-13 03:03,Joji,worldstar money (interlude),126312
2022-02-13 03:08,Daniel Caesar,ENTROPY,261291
2022-02-13 03:10,UMI,Butterfly,160500
2022-02-13 03:14,Clairo,Softly,185306
2022-02-13 03:18,Charlie Burg,I Don't Wanna Be Okay Without You,243796
2022-02-13 03:22,Rex Orange County,Sunflower,252230
2022-02-13 03:26,Yuna,Castaway,269893
2022-02-13 03:31,Frank Ocean,Ivy,249191
2022-02-13 03:34,Daniel Caesar,COMPLEXITIES,230585
2022-02-13 03:38,UMI,Love Affair,190960
2022-02-13 03:40,Jaden,Photograph,141302
2022-02-13 03:43,Pink Sweat$,Body Aint Me,162260
